test	dp	tp	tpsp	fsdp	mean	stddev
fp8	1	1	1	1	10336.48	4.52
te_fp8_delayedscaling	1	1	1	1	10336.99	7.52
te_mxfp8	1	1	1	1	10070.57	5.80
fp8	1	4	1	1	10574.12	7.91
te_fp8_delayedscaling	1	4	1	1	8552.31	4.53
te_mxfp8	1	4	1	1	8317.09	3.00
fp8	4	1	1	1	8913.55	3.62
te_fp8_delayedscaling	4	1	1	1	9067.40	4.88
te_mxfp8	4	1	1	1	9150.10	4.04
fp8	2	2	1	1	9993.96	5.09
te_fp8_delayedscaling	2	2	1	1	8871.18	5.73
te_mxfp8	2	2	1	1	8751.23	4.24
fp8	1	1	4	1	9190.23	6.34
te_fp8_delayedscaling	1	1	4	1	9854.05	6.70
te_mxfp8	1	1	4	1	9575.88	12.96
fp8	2	1	2	1	9625.88	5.00
te_fp8_delayedscaling	2	1	2	1	9356.70	6.72
te_mxfp8	2	1	2	1	9238.48	5.06
fp8	1	1	1	4	10897.99	12.20
te_fp8_delayedscaling	1	1	1	4	10842.82	11.01
te_mxfp8	1	1	1	4	11047.77	10.63
fp8	1	1	2	2	10342.14	15.48
te_fp8_delayedscaling	1	1	2	2	9804.23	9.11
te_mxfp8	1	1	2	2	9797.35	6.74
