test	dp	tp	tpsp	fsdp	mean	stddev	normalized
maxtext_fp8	1	1	1	1	10336.48	4.52	0.00%
te_fp8_delayedscaling	1	1	1	1	10336.99	7.52	0.00%
te_mxfp8	1	1	1	1	10070.57	5.80	-2.57%
maxtext_fp8	1	4	1	1	10574.12	7.91	0.00%
te_fp8_delayedscaling	1	4	1	1	8552.31	4.53	-19.12%
te_mxfp8	1	4	1	1	8317.09	3.00	-21.34%
maxtext_fp8	4	1	1	1	8913.55	3.62	0.00%
te_fp8_delayedscaling	4	1	1	1	9067.40	4.88	1.73%
te_mxfp8	4	1	1	1	9150.10	4.04	2.65%
maxtext_fp8	2	2	1	1	9993.96	5.09	0.00%
te_fp8_delayedscaling	2	2	1	1	8871.18	5.73	-11.23%
te_mxfp8	2	2	1	1	8751.23	4.24	-12.43%
maxtext_fp8	1	1	4	1	9190.23	6.34	0.00%
te_fp8_delayedscaling	1	1	4	1	9854.05	6.70	7.22%
te_mxfp8	1	1	4	1	9575.88	12.96	4.20%
maxtext_fp8	2	1	2	1	9625.88	5.00	0.00%
te_fp8_delayedscaling	2	1	2	1	9356.70	6.72	-2.80%
te_mxfp8	2	1	2	1	9238.48	5.06	-4.02%
maxtext_fp8	1	1	1	4	10897.99	12.20	0.00%
te_fp8_delayedscaling	1	1	1	4	10842.82	11.01	-0.51%
te_mxfp8	1	1	1	4	11047.77	10.63	1.37%
maxtext_fp8	1	1	2	2	10342.14	15.48	0.00%
te_fp8_delayedscaling	1	1	2	2	9804.23	9.11	-5.20%
te_mxfp8	1	1	2	2	9797.35	6.74	-5.27%
