test	dp	tp	tpsp	fsdp	mean	stddev	normalized
fp8	1	4	1	1	10505.17	9.05	-
te_fp8_delayedscaling	1	4	1	1	9418.85	9.83	-
te_mxfp8	1	4	1	1	8953.35	4.98	-
fp8	4	1	1	1	8456.87	5.56	-
te_fp8_delayedscaling	4	1	1	1	8346.70	5.03	-
te_mxfp8	4	1	1	1	8772.49	5.65	-
fp8	2	2	1	1	10281.64	28.11	-
te_fp8_delayedscaling	2	2	1	1	8994.79	7.89	-
te_mxfp8	2	2	1	1	8636.53	9.19	-
fp8	1	1	4	1	9505.76	7.46	-
te_fp8_delayedscaling	1	1	4	1	9917.69	6.82	-
te_mxfp8	1	1	4	1	9494.95	6.21	-
fp8	2	1	2	1	9982.82	8.02	-
te_fp8_delayedscaling	2	1	2	1	9490.78	6.86	-
te_mxfp8	2	1	2	1	9524.72	4.52	-
fp8	1	1	1	4	10971.19	15.37	-
te_fp8_delayedscaling	1	1	1	4	10985.14	13.62	-
te_mxfp8	1	1	1	4	10960.85	14.56	-
fp8	1	1	2	2	10540.45	12.08	-
te_fp8_delayedscaling	1	1	2	2	9928.88	8.15	-
te_mxfp8	1	1	2	2	9514.27	8.57	-
test	dp	tp	tpsp	fsdp	mean	stddev	normalized
maxtext_fp8	1	4	1	1	10505.17	9.05	0.00%
te_fp8_delayedscaling	1	4	1	1	9418.85	9.83	-10.34%
te_mxfp8	1	4	1	1	8953.35	4.98	-14.77%
maxtext_fp8	4	1	1	1	8456.87	5.56	0.00%
te_fp8_delayedscaling	4	1	1	1	8346.70	5.03	-1.30%
te_mxfp8	4	1	1	1	8772.49	5.65	3.73%
maxtext_fp8	2	2	1	1	10281.64	28.11	0.00%
te_fp8_delayedscaling	2	2	1	1	8994.79	7.89	-12.52%
te_mxfp8	2	2	1	1	8636.53	9.19	-16.00%
maxtext_fp8	1	1	4	1	9505.76	7.46	0.00%
te_fp8_delayedscaling	1	1	4	1	9917.69	6.82	4.33%
te_mxfp8	1	1	4	1	9494.95	6.21	-0.11%
maxtext_fp8	2	1	2	1	9982.82	8.02	0.00%
te_fp8_delayedscaling	2	1	2	1	9490.78	6.86	-4.93%
te_mxfp8	2	1	2	1	9524.72	4.52	-4.59%
maxtext_fp8	1	1	1	4	10971.19	15.37	0.00%
te_fp8_delayedscaling	1	1	1	4	10985.14	13.62	0.13%
te_mxfp8	1	1	1	4	10960.85	14.56	-0.09%
maxtext_fp8	1	1	2	2	10540.45	12.08	0.00%
te_fp8_delayedscaling	1	1	2	2	9928.88	8.15	-5.80%
te_mxfp8	1	1	2	2	9514.27	8.57	-9.74%
