test	dp	tp	tpsp	fsdp	mean	stddev
fp8	1	4	1	1	10486.80	9.53
te_fp8_delayedscaling	1	4	1	1	8413.02	5.02
te_mxfp8	1	4	1	1	8166.88	5.28
fp8	4	1	1	1	8845.39	5.40
te_fp8_delayedscaling	4	1	1	1	8984.25	5.15
te_mxfp8	4	1	1	1	9130.46	5.59
fp8	2	2	1	1	9915.63	10.22
te_fp8_delayedscaling	2	2	1	1	8616.60	5.38
te_mxfp8	2	2	1	1	8570.24	7.90
fp8	1	1	4	1	9296.45	7.44
te_fp8_delayedscaling	1	1	4	1	9768.83	7.34
te_mxfp8	1	1	4	1	9632.02	5.71
fp8	2	1	2	1	9641.21	9.86
te_fp8_delayedscaling	2	1	2	1	9271.61	5.71
te_mxfp8	2	1	2	1	9139.44	6.01
fp8	1	1	1	4	10823.14	19.95
te_fp8_delayedscaling	1	1	1	4	10786.98	14.73
te_mxfp8	1	1	1	4	11006.70	14.51
fp8	1	1	2	2	10248.22	7.09
te_fp8_delayedscaling	1	1	2	2	9680.34	6.51
te_mxfp8	1	1	2	2	9709.01	7.32
