test	dp	tp	tpsp	fsdp	mean	stddev	normalized
maxtext_fp8	1	4	1	1	10486.80	9.53	0.00%
te_fp8_delayedscaling	1	4	1	1	8413.02	5.02	-19.78%
te_mxfp8	1	4	1	1	8166.88	5.28	-22.12%
maxtext_fp8	4	1	1	1	8845.39	5.40	0.00%
te_fp8_delayedscaling	4	1	1	1	8984.25	5.15	1.57%
te_mxfp8	4	1	1	1	9130.46	5.59	3.22%
maxtext_fp8	2	2	1	1	9915.63	10.22	0.00%
te_fp8_delayedscaling	2	2	1	1	8616.60	5.38	-13.10%
te_mxfp8	2	2	1	1	8570.24	7.90	-13.57%
maxtext_fp8	1	1	4	1	9296.45	7.44	0.00%
te_fp8_delayedscaling	1	1	4	1	9768.83	7.34	5.08%
te_mxfp8	1	1	4	1	9632.02	5.71	3.61%
maxtext_fp8	2	1	2	1	9641.21	9.86	0.00%
te_fp8_delayedscaling	2	1	2	1	9271.61	5.71	-3.83%
te_mxfp8	2	1	2	1	9139.44	6.01	-5.20%
maxtext_fp8	1	1	1	4	10823.14	19.95	0.00%
te_fp8_delayedscaling	1	1	1	4	10786.98	14.73	-0.33%
te_mxfp8	1	1	1	4	11006.70	14.51	1.70%
maxtext_fp8	1	1	2	2	10248.22	7.09	0.00%
te_fp8_delayedscaling	1	1	2	2	9680.34	6.51	-5.54%
te_mxfp8	1	1	2	2	9709.01	7.32	-5.26%
