test	dp	tp	tpsp	fsdp	mean	stddev
fp8	1	1	1	1	7769.22	3.76
te_fp8_delayedscaling	1	1	1	1	8431.61	3.98
te_mxfp8	1	1	1	1	7987.20	2.25
fp8	1	4	1	1	7884.86	1.22
te_fp8_delayedscaling	1	4	1	1	6860.22	2.04
te_mxfp8	1	4	1	1	6593.07	1.36
fp8	4	1	1	1	6739.67	1.27
te_fp8_delayedscaling	4	1	1	1	7395.74	1.20
te_mxfp8	4	1	1	1	7329.16	1.08
fp8	2	2	1	1	7436.60	1.69
te_fp8_delayedscaling	2	2	1	1	7602.89	1.90
te_mxfp8	2	2	1	1	6400.26	0.69
fp8	1	1	4	1	6923.93	2.33
te_fp8_delayedscaling	1	1	4	1	8319.84	2.64
te_mxfp8	1	1	4	1	7754.68	2.46
fp8	2	1	2	1	7192.26	1.83
te_fp8_delayedscaling	2	1	2	1	8170.14	1.95
te_mxfp8	2	1	2	1	6714.38	1.63
fp8	1	1	1	4	8062.25	1.29
te_fp8_delayedscaling	1	1	1	4	8711.25	5.33
te_mxfp8	1	1	1	4	8621.80	3.16
fp8	1	1	2	2	7613.74	2.11
te_fp8_delayedscaling	1	1	2	2	8457.89	2.36
te_mxfp8	1	1	2	2	6989.14	1.90
