test	dp	tp	tpsp	fsdp	mean	stddev	normalized
maxtext_fp8	1	1	1	1	7769.22	3.76	0.00%
te_fp8_delayedscaling	1	1	1	1	8431.61	3.98	8.53%
te_mxfp8	1	1	1	1	7987.20	2.25	2.81%
maxtext_fp8	1	4	1	1	7884.86	1.22	0.00%
te_fp8_delayedscaling	1	4	1	1	6860.22	2.04	-13.00%
te_mxfp8	1	4	1	1	6593.07	1.36	-16.38%
maxtext_fp8	4	1	1	1	6739.67	1.27	0.00%
te_fp8_delayedscaling	4	1	1	1	7395.74	1.20	9.73%
te_mxfp8	4	1	1	1	7329.16	1.08	8.75%
maxtext_fp8	2	2	1	1	7436.60	1.69	0.00%
te_fp8_delayedscaling	2	2	1	1	7602.89	1.90	2.24%
te_mxfp8	2	2	1	1	6400.26	0.69	-13.94%
maxtext_fp8	1	1	4	1	6923.93	2.33	0.00%
te_fp8_delayedscaling	1	1	4	1	8319.84	2.64	20.16%
te_mxfp8	1	1	4	1	7754.68	2.46	12.00%
maxtext_fp8	2	1	2	1	7192.26	1.83	0.00%
te_fp8_delayedscaling	2	1	2	1	8170.14	1.95	13.60%
te_mxfp8	2	1	2	1	6714.38	1.63	-6.64%
maxtext_fp8	1	1	1	4	8062.25	1.29	0.00%
te_fp8_delayedscaling	1	1	1	4	8711.25	5.33	8.05%
te_mxfp8	1	1	1	4	8621.80	3.16	6.94%
maxtext_fp8	1	1	2	2	7613.74	2.11	0.00%
te_fp8_delayedscaling	1	1	2	2	8457.89	2.36	11.09%
te_mxfp8	1	1	2	2	6989.14	1.90	-8.20%
