test	dp	tp	tpsp	fsdp	mean	stddev
maxtext_fp8	1	4	1	1	143649.15	1058.32
te_fp8_delayedscaling	1	4	1	1	137233.94	629.42
te_mxfp8	1	4	1	1	132886.04	383.79
maxtext_fp8	4	1	1	1	112281.52	136.81
te_fp8_delayedscaling	4	1	1	1	111070.20	421.41
te_mxfp8	4	1	1	1	110039.69	350.94
maxtext_fp8	2	2	1	1	123503.08	361.43
te_fp8_delayedscaling	2	2	1	1	123654.85	236.69
te_mxfp8	2	2	1	1	120787.46	300.91
maxtext_fp8	1	1	4	1	123732.99	512.76
te_fp8_delayedscaling	1	1	4	1	135735.02	520.80
te_mxfp8	1	1	4	1	131981.72	707.75
maxtext_fp8	2	1	2	1	112092.87	591.14
te_fp8_delayedscaling	2	1	2	1	119391.28	503.16
te_mxfp8	2	1	2	1	116546.29	398.71
maxtext_fp8	1	1	1	4	148570.45	369.88
te_fp8_delayedscaling	1	1	1	4	154592.83	759.70
te_mxfp8	1	1	1	4	149184.15	749.54
maxtext_fp8	1	1	2	2	122197.60	333.78
te_fp8_delayedscaling	1	1	2	2	131684.09	260.00
te_mxfp8	1	1	2	2	125488.46	416.68
