test	dp	tp	tpsp	fsdp	mean	stddev	normalized
maxtext_fp8	1	4	1	1	143649.15	1058.32	0.00%
te_fp8_delayedscaling	1	4	1	1	137233.94	629.42	-4.47%
te_mxfp8	1	4	1	1	132886.04	383.79	-7.49%
maxtext_fp8	4	1	1	1	112281.52	136.81	0.00%
te_fp8_delayedscaling	4	1	1	1	111070.20	421.41	-1.08%
te_mxfp8	4	1	1	1	110039.69	350.94	-2.00%
maxtext_fp8	2	2	1	1	123503.08	361.43	0.00%
te_fp8_delayedscaling	2	2	1	1	123654.85	236.69	0.12%
te_mxfp8	2	2	1	1	120787.46	300.91	-2.20%
maxtext_fp8	1	1	4	1	123732.99	512.76	0.00%
te_fp8_delayedscaling	1	1	4	1	135735.02	520.80	9.70%
te_mxfp8	1	1	4	1	131981.72	707.75	6.67%
maxtext_fp8	2	1	2	1	112092.87	591.14	0.00%
te_fp8_delayedscaling	2	1	2	1	119391.28	503.16	6.51%
te_mxfp8	2	1	2	1	116546.29	398.71	3.97%
maxtext_fp8	1	1	1	4	148570.45	369.88	0.00%
te_fp8_delayedscaling	1	1	1	4	154592.83	759.70	4.05%
te_mxfp8	1	1	1	4	149184.15	749.54	0.41%
maxtext_fp8	1	1	2	2	122197.60	333.78	0.00%
te_fp8_delayedscaling	1	1	2	2	131684.09	260.00	7.76%
te_mxfp8	1	1	2	2	125488.46	416.68	2.69%
